S.No,City,Neighborhood,1st Most Common Venue,2nd Most Common Venue,Cluster Labels,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
1,Newyork,Cobble Hill (Brooklyn),Coffee Shop,Cocktail Bar,2,Playground,Yoga Studio,Italian Restaurant,Bakery,Bar,Pizza Place,Deli / Bodega,French Restaurant
2,Newyork,Park Slope (Brooklyn),Coffee Shop,Pizza Place,2,Burger Joint,Italian Restaurant,Bagel Shop,Japanese Restaurant,Bookstore,Spa,Pub,Bakery
3,Newyork,North Side (Brooklyn),Coffee Shop,Pizza Place,2,Yoga Studio,Bakery,Wine Bar,Jewelry Store,American Restaurant,Vegetarian / Vegan Restaurant,Cocktail Bar,Bookstore
4,Newyork,Manhattanville (Manhattan),Coffee Shop,Deli / Bodega,2,Italian Restaurant,Bar,Chinese Restaurant,Liquor Store,Mexican Restaurant,Seafood Restaurant,Sushi Restaurant,Gastropub
5,Newyork,Roosevelt Island (Manhattan),Coffee Shop,Park,2,Residential Building (Apartment / Condo),Supermarket,Gym / Fitness Center,Gym,Athletics & Sports,Metro Station,Greek Restaurant,Farmers Market
6,Newyork,Murray Hill (Manhattan),Coffee Shop,Hotel,2,Sandwich Place,Japanese Restaurant,American Restaurant,Bar,Pizza Place,Sushi Restaurant,Taco Place,Gym / Fitness Center
7,Newyork,Manhattan Valley (Manhattan),Coffee Shop,Bar,2,Mexican Restaurant,Thai Restaurant,Playground,Pizza Place,Indian Restaurant,Vietnamese Restaurant,Yoga Studio,Farmers Market
8,Newyork,Morningside Heights (Manhattan),Coffee Shop,Bookstore,2,American Restaurant,Park,Café,Deli / Bodega,Sandwich Place,Burger Joint,Mexican Restaurant,Grocery Store
9,Newyork,Financial District (Manhattan),Coffee Shop,Pizza Place,2,American Restaurant,Italian Restaurant,Gym / Fitness Center,Cocktail Bar,Falafel Restaurant,Hotel,Donut Shop,Gourmet Shop
10,Newyork,West Brighton (Staten Island),Coffee Shop,Italian Restaurant,2,Bank,Bar,Music Store,Breakfast Spot,Fast Food Restaurant,Smoke Shop,Bus Stop,Board Shop
11,Newyork,Sunnyside (Staten Island),Coffee Shop,Spa,2,Market,Gym,American Restaurant,Grocery Store,Filipino Restaurant,Field,Flower Shop,Dry Cleaner
12,Newyork,Carnegie Hill (Manhattan),Coffee Shop,Café,2,Wine Shop,Yoga Studio,Pizza Place,Bookstore,Gym / Fitness Center,Bar,Cosmetics Shop,Shipping Store
13,Newyork,Civic Center (Manhattan),Coffee Shop,Gym / Fitness Center,2,Spa,Cocktail Bar,French Restaurant,American Restaurant,Yoga Studio,Hotel,Italian Restaurant,Park
